Parameter,Object,Object timestamp,Writable,Writable timestamp,Value,Value type,Value timestamp,Notification,Notification timestamp,Access list,Access list timestamp
InternetGatewayDevice.IPPingDiagnostics.MaximumResponseTime,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"0",xsd:unsignedInt,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.IPPingDiagnostics.MinimumResponseTime,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"0",xsd:unsignedInt,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.IPPingDiagnostics.NumberOfRepetitions,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"4",xsd:unsignedInt,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.IPPingDiagnostics.SuccessCount,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"0",xsd:unsignedInt,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.IPPingDiagnostics.Timeout,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"10000",xsd:unsignedInt,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.LANDevice,true,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"",,,,,,
InternetGatewayDevice.LANDevice.1,true,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts,true,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host,true,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.HostNumberOfEntries,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"0",xsd:unsignedInt,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig,true,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1,true,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.DuplexMode,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"Auto",xsd:string,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.Enable,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"true",xsd:boolean,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.MACAddress,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"A4:C6:4F:C5:F1:F5",xsd:string,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.MACAddressControlEnabled,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"false",xsd:boolean,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.MaxBitRate,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"Auto",xsd:string,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.Name,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"eth0:1",xsd:string,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.Stats,true,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"",,,,,,
